Product,Product cost used,Weekly rent,Weekly revenue % of product cost,Monthly rent,Monthly revenue % of product cost,Weekly rentals to recover cost,Monthly rentals to recover cost
Standard Full-Electric Hospital Bed,$322.99,$110.00,34.1%,$395.00,122.3%,2.9,0.8
Low Full-Electric Hospital Bed,$358.49,$125.00,34.9%,$450.00,125.5%,2.9,0.8
Bariatric Full-Electric Hospital Bed,$567.49,$175.00,30.8%,$625.00,110.1%,3.2,0.9
Bed + Therapeutic Foam Mattress Bundle,$448.33,$150.00,33.5%,$525.00,117.1%,3.0,0.9
Bed + 5-Zone Mattress Bundle,$446.21,$155.00,34.7%,$550.00,123.3%,2.9,0.8
Therapeutic Foam Mattress,$125.34,$45.00,35.9%,$150.00,119.7%,2.8,0.8
Advantage 200 5-Zone Mattress,$123.22,$50.00,40.6%,$165.00,133.9%,2.5,0.7
Low Air Loss / Alternating Pressure Mattress System,$220.53,$85.00,38.5%,$295.00,133.8%,2.6,0.7
Composite H-Base Overbed Table,$47.00,$18.00,38.3%,$55.00,117.0%,2.6,0.9
Transport Chair - Aluminum 19 in.,$84.99,$35.00,41.2%,$105.00,123.5%,2.4,0.8
Manual Wheelchair - K1 20 in.,$96.99,$40.00,41.2%,$120.00,123.7%,2.4,0.8
Manual Wheelchair - K3 18 in.,$111.99,$45.00,40.2%,$135.00,120.5%,2.5,0.8
Manual Wheelchair - K4 18 in.,$127.99,$50.00,39.1%,$150.00,117.2%,2.6,0.9
Folding Walker with 5 in. Wheels,$19.99,$15.00,75.0%,$45.00,225.1%,1.3,0.4
Bariatric Two-Button Folding Walker,$25.99,$18.00,69.3%,$55.00,211.6%,1.4,0.5
Upright Folding Walker,$44.99,$25.00,55.6%,$75.00,166.7%,1.8,0.6
Basic Aluminum Rollator - 8 in. Wheels,$54.99,$28.00,50.9%,$85.00,154.6%,2.0,0.6
European-Style Aluminum Rollator,$70.99,$35.00,49.3%,$105.00,147.9%,2.0,0.7
Folding T-Handle Cane,$5.99,$8.00,133.6%,$20.00,333.9%,0.7,0.3
Large-Base Quad Cane,$14.49,$12.00,82.8%,$35.00,241.5%,1.2,0.4
Shower Chair with Arms and Back,$29.99,$18.00,60.0%,$55.00,183.4%,1.7,0.5
Padded Transfer Bench,$40.99,$25.00,61.0%,$75.00,183.0%,1.6,0.5
Freestanding Toilet Safety Rail,$35.49,$20.00,56.4%,$60.00,169.1%,1.8,0.6
3-in-1 Folding Elongated Commode,$85.99,$20.00,23.3%,$60.00,69.8%,4.3,1.4
Manual Hydraulic Patient Lift with Sling,$330.81,$125.00,37.8%,$425.00,128.5%,2.6,0.8
Reusable Full-Body Patient Sling - Large,$65.05,$25.00,38.4%,$75.00,115.3%,2.6,0.9
Beveled Edge Fall Mat,$82.18,$35.00,42.6%,$105.00,127.8%,2.3,0.8
Gel Foam Wheelchair Cushion - 18 x 16,$16.29,$10.00,61.4%,$30.00,184.2%,1.6,0.5
Security Pole with Handle,$90.99,$40.00,44.0%,$120.00,131.9%,2.3,0.8
Reacher - 32 in.,$7.82,$8.00,102.3%,$20.00,255.8%,1.0,0.4
