Category,Store product name,Medline source item no.,Flyer cost,Recommended weekly rental,Recommended monthly rental,Plan note
Hospital Beds,Standard Full-Electric Hospital Bed,MDR107003E,$322.99,$110,$395,Replaces generic semi-electric bed listing; no daily option
Hospital Beds,Low Full-Electric Hospital Bed,MDR107003ELO,$358.49,$125,$450,Premium bed option with low-height range; no daily option
Hospital Beds,Bariatric Full-Electric Hospital Bed,MDR107004L,$567.49,$175,$625,Heavy-duty bed tier; no daily option
Hospital Beds,Bed + Therapeutic Foam Mattress Bundle,MDR107003E + MSCADVHC80,$448.33,$150,$525,Good standard bundle for home recovery; no daily option
Hospital Beds,Bed + 5-Zone Mattress Bundle,MDR107003E + MSCADV0280,$446.21,$155,$550,Premium comfort bundle; no daily option
Mattresses,Therapeutic Foam Mattress,MSCADVHC80,$125.34,$45,$150,Add-on or standalone rental; no daily option
Mattresses,Advantage 200 5-Zone Mattress,MSCADV0280,$123.22,$50,$165,Premium mattress add-on; no daily option
Mattresses,Low Air Loss / Alternating Pressure Mattress System,MDT24A10,$220.53,$85,$295,Pressure-injury support rental; no daily option
Overbed Tables,Composite H-Base Overbed Table,MDS107015,$47.00,$18,$55,Best as bed add-on; no daily option
Wheelchairs,Transport Chair - Aluminum 19 in.,MDS808200ABE / MDS808200ARE,$84.99,$35,$105,Direct transport chair replacement; no daily option
Wheelchairs,Manual Wheelchair - K1 20 in.,K1206N22S,$96.99,$40,$120,Entry manual wheelchair rental; no daily option
Wheelchairs,Manual Wheelchair - K3 18 in.,K3186N34S1,$111.99,$45,$135,Premium manual wheelchair rental; no daily option
Wheelchairs,Manual Wheelchair - K4 18 in.,K4186N24E,$127.99,$50,$150,Premium manual wheelchair with elevating leg rests; no daily option
Walkers,Folding Walker with 5 in. Wheels,MDS86410P5H1,$19.99,$15,$45,Low-cost rental/add-on; no daily option
Walkers,Bariatric Two-Button Folding Walker,MDS86410XWWB,$25.99,$18,$55,High-capacity walker option; no daily option
Walkers,Upright Folding Walker,MDSUPWALK,$44.99,$25,$75,Premium walker option; no daily option
Rollators,Basic Aluminum Rollator - 8 in. Wheels,RLL-230A-8B / RLL-230A-8BG / MDS86830EBL8,$54.99,$28,$85,Core rollator rental; no daily option
Rollators,European-Style Aluminum Rollator,RLL-75A-8BR / RLL-75A-8WR,$70.99,$35,$105,Premium rollator option; no daily option
Canes,Folding T-Handle Cane,MDS86430WH1 / MDS86430BH1,$5.99-$6.49,$8,$20,Better as add-on or sale item; no daily option
Canes,Large-Base Quad Cane,MDS86228F1,$14.49,$12,$35,Add-on rental or sale item; no daily option
Bath Safety,Shower Chair with Arms and Back,G2-105RX1,$29.99,$18,$55,New bath safety rental/add-on; no daily option
Bath Safety,Padded Transfer Bench,G3-100KBPX1,$40.99,$25,$75,Good weekly/monthly bath safety rental; no daily option
Bath Safety,Freestanding Toilet Safety Rail,G5-400RX1,$35.49,$20,$60,Good bathroom safety add-on; no daily option
Commodes,3-in-1 Folding Elongated Commode,G1-200LX4,$85.99/case of 4,$20,$60,Consider sale or rent-to-own due hygiene handling; no daily option
Patient Lifts,Manual Hydraulic Patient Lift with Sling,MDS88200D,$330.81,$125,$425,New high-value rental category; no daily option
Patient Lifts,Powered Base Patient Lift,MDS450EL,$1,318.68,$275,$900,Add only if delivery/setup capacity is ready; no daily option
Patient Lifts,Reusable Full-Body Patient Sling - Large,MDSMR115,$65.05,$25,$75,Accessory for lift rentals; consider purchase-only for hygiene
Safety Accessories,Beveled Edge Fall Mat,MDTFALLMATB / MDTFALLMATG,$82.18-$85.38,$35,$105,Bed safety add-on; no daily option
Wheelchair Accessories,Gel Foam Wheelchair Cushion - 18 x 16,MSCPRC21816,$16.29,$10,$30,Wheelchair add-on; no daily option
ADL Accessories,Security Pole with Handle,MDS86051P,$90.99,$40,$120,Helpful home safety rental; no daily option
ADL Accessories,Reacher - 32 in.,MDSAGRH,$7.82,$8,$20,Best as purchase/add-on; no daily option
